3,0,4.6037e-10
4,0,1.9159e-10
5,0,5.0642e-10
6,0,0.0042278
7,0,0.0027654
8,0,0.0014609
9,0.21554,0.0079569
10,0.69971,0.45791
11,1.7754,2.1799
12,3.2932,3.833
13,4.2563,4.3885
14,4.7307,4.5818
15,4.9181,4.7632
16,5.3931,5.6463
17,5.7302,5.6074
18,5.9801,5.927
19,6.3467,6.3223
20,6.6946,6.7907
21,6.8219,6.6974
22,6.9049,6.8689
23,6.9679,6.8749
24,7.0583,7.0684
25,7.1813,7.21
26,7.2791,7.2583
27,7.474,7.4138
28,7.5191,7.3465
29,7.6257,7.6727
30,7.7277,7.7464
31,7.7763,7.6797
32,7.8239,8.01
33,7.876,7.7168
34,7.9147,7.7803
35,7.9675,7.8629
36,8.0014,8.059
37,8.0791,7.9991
38,8.1229,8.0693
39,8.1891,8.2123
40,8.2537,8.2322
41,8.227,8.274
42,8.3121,8.4173
43,8.3327,8.3622
44,8.3476,8.4428
45,8.3711,8.4415
46,8.4168,8.4163
47,8.4967,8.4481
48,8.4986,8.5288
49,8.5085,8.5106
50,8.531,8.5482
51,8.5552,8.569
52,8.5482,8.5818
53,8.561,8.5815
54,8.5807,8.597
55,8.6095,8.6235
