Company,"Average Weight/Month (grams, 0.8 Markdown)","Std Weight/Month (grams, 0.8 Markdown)",Average Quantity/Month,Std Quantity/Month
1,663880442.1,214037158.8,1631677.1,526057.9
2,638178007.5,367775056.9,416649.6,240110.6
3,572122400.0,165373967.0,1420328.2,410550.8
4,394700382.6,167947329.5,822515.2,349985.1
5,352106692.7,156778470.4,631615.5,281232.1
6,339590928.3,135237000.8,834129.8,332179.7
7,314551120.0,234885981.7,643793.6,480742.5
8,295091710.6,170657652.3,362801.3,209815.5
9,294601668.6,213302302.6,389463.2,281985.5
10,244879807.7,203106218.4,236277.0,195970.9
11,240166374.2,95679830.7,569330.5,226815.5
12,212495107.7,174993918.7,470423.7,387403.2
13,198022125.0,170429217.7,333904.6,287377.5
14,197601058.8,105485696.6,384325.7,205165.2
15,185984400.0,92977389.4,269070.8,134514.0
16,176073183.1,153031861.0,326533.1,283802.3
17,156116165.5,137105809.1,188977.5,165965.6
18,155351171.4,106569252.7,200945.8,137846.7
19,150664600.0,133823517.8,168590.9,149746.0
20,121659850.0,93568162.1,127077.1,97734.6
21,105022462.7,70409143.5,114027.2,76446.1
22,104618704.8,59160310.9,155340.5,87842.7
23,103331809.5,65357021.6,233734.8,147836.5
24,102958752.0,61257355.2,168663.2,100349.5
25,99077142.9,69156027.8,236523.1,165093.5
26,97037623.2,95578437.4,163713.0,161251.2
27,87024342.9,93242734.1,107490.5,115171.4
28,86024000.0,108998222.1,224852.3,284903.1
29,84117690.3,61124353.9,103749.1,75389.6
30,82198364.2,69630144.7,177941.6,150734.2
31,77642894.1,53447965.4,134572.4,92637.2
32,76724695.7,56937506.1,49646.8,36843.0
33,75610812.1,87903384.0,170586.6,198320.1
34,72575357.7,65170445.5,122744.9,110221.1
35,72175626.0,101445236.1,198344.6,278780.0
36,69840624.7,69973951.8,90288.2,90460.6
37,66505402.5,70469244.0,85999.8,91125.6
38,63615559.4,67078693.2,71904.7,75819.1
39,60736492.3,54564813.0,71642.7,64362.8
40,59031031.6,61306087.4,102406.2,106352.9
41,58342057.1,26992697.9,137078.7,63421.2
42,54891232.0,71995367.4,36609.8,48017.4
43,48324788.1,41983577.5,34248.1,29754.1
44,47083400.0,30574352.9,103955.2,67505.0
45,43792365.2,48314610.9,97927.9,108040.5
46,38687638.1,35467277.3,32782.5,30053.7
47,38472429.3,33877652.8,47876.3,42158.4
48,34936248.3,30932125.7,61823.1,54737.4
49,33148273.2,29190623.7,69429.2,61139.9
50,32723783.8,35970305.3,42179.1,46363.6
51,31588760.0,25997135.0,55432.5,45620.2
52,26141058.1,17852358.6,65240.1,44554.0
53,22632306.7,19292012.3,43059.1,36704.0
54,20788266.7,20357443.6,31179.9,30533.7
55,1217504.0,1097998.2,760.2,685.5
